id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,eval_number,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,Attrition_Numerique
1,41,F,5993,Célibataire,Commercial,Cadre Commercial,8,8,6,4,2,3,2,4,1,1,E_1,3,Oui,11,Oui,0,0,1,2,Infra & Cloud,Occasionnel,0,5,1
2,49,M,5130,Marié(e),Consulting,Assistant de Direction,1,10,10,7,3,2,2,2,4,3,E_2,4,Non,23,Non,1,3,8,1,Infra & Cloud,Frequent,1,7,0
4,37,M,2090,Célibataire,Consulting,Consultant,6,7,0,0,4,2,1,3,2,3,E_4,3,Oui,15,Oui,0,3,2,2,Autre,Occasionnel,0,0,1
5,33,F,2909,Marié(e),Consulting,Assistant de Direction,1,8,8,7,4,3,1,3,3,3,E_5,3,Oui,11,Non,0,3,3,4,Infra & Cloud,Frequent,3,0,0
7,27,M,3468,Marié(e),Consulting,Consultant,9,6,2,2,1,3,1,2,4,3,E_7,3,Non,12,Non,1,3,2,1,Transformation Digitale,Occasionnel,2,2,0
8,32,M,3068,Célibataire,Consulting,Consultant,0,8,7,7,4,3,1,4,3,2,E_8,3,Non,13,Non,0,2,2,2,Infra & Cloud,Frequent,3,6,0
10,59,F,2670,Marié(e),Consulting,Consultant,4,12,1,0,3,4,1,1,1,2,E_10,4,Oui,20,Non,3,3,3,3,Transformation Digitale,Occasionnel,0,0,0
11,30,M,2693,Divorcé(e),Consulting,Consultant,1,1,1,0,4,3,1,3,2,3,E_11,4,Non,22,Non,1,2,24,1,Infra & Cloud,Occasionnel,0,0,0
12,38,M,9526,Célibataire,Consulting,Tech Lead,0,10,9,7,4,2,3,3,2,3,E_12,4,Non,21,Non,0,2,23,3,Infra & Cloud,Frequent,1,8,0
13,36,M,5237,Marié(e),Consulting,Manager,6,17,7,7,3,3,2,3,2,2,E_13,3,Non,13,Non,2,3,27,3,Transformation Digitale,Occasionnel,7,7,0
